,Unnamed: 0.1,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature
0,4383,2045792,North America,US,Massachusetts,Boston,1,1,2007,38.3
1,4384,2045793,North America,US,Massachusetts,Boston,1,2,2007,42.3
2,4385,2045794,North America,US,Massachusetts,Boston,1,3,2007,41.1
3,4386,2045795,North America,US,Massachusetts,Boston,1,4,2007,46.4
4,4387,2045796,North America,US,Massachusetts,Boston,1,5,2007,53.8
5,4388,2045797,North America,US,Massachusetts,Boston,1,6,2007,60.9
6,4389,2045798,North America,US,Massachusetts,Boston,1,7,2007,49.3
7,4390,2045799,North America,US,Massachusetts,Boston,1,8,2007,45.6
8,4391,2045800,North America,US,Massachusetts,Boston,1,9,2007,39.7
9,4392,2045801,North America,US,Massachusetts,Boston,1,10,2007,34.2
10,4393,2045802,North America,US,Massachusetts,Boston,1,11,2007,27.3
11,4394,2045803,North America,US,Massachusetts,Boston,1,12,2007,40.2
12,4395,2045804,North America,US,Massachusetts,Boston,1,13,2007,45.4
13,4396,2045805,North America,US,Massachusetts,Boston,1,14,2007,37.4
14,4397,2045806,North America,US,Massachusetts,Boston,1,15,2007,36.1
15,4398,2045807,North America,US,Massachusetts,Boston,1,16,2007,32.0
16,4399,2045808,North America,US,Massachusetts,Boston,1,17,2007,15.8
17,4400,2045809,North America,US,Massachusetts,Boston,1,18,2007,20.3
18,4401,2045810,North America,US,Massachusetts,Boston,1,19,2007,36.8
19,4402,2045811,North America,US,Massachusetts,Boston,1,20,2007,29.9
20,4403,2045812,North America,US,Massachusetts,Boston,1,21,2007,19.6
21,4404,2045813,North America,US,Massachusetts,Boston,1,22,2007,23.5
22,4405,2045814,North America,US,Massachusetts,Boston,1,23,2007,24.3
23,4406,2045815,North America,US,Massachusetts,Boston,1,24,2007,32.3
24,4407,2045816,North America,US,Massachusetts,Boston,1,25,2007,26.2
25,4408,2045817,North America,US,Massachusetts,Boston,1,26,2007,8.8
26,4409,2045818,North America,US,Massachusetts,Boston,1,27,2007,12.9
27,4410,2045819,North America,US,Massachusetts,Boston,1,28,2007,30.3
28,4411,2045820,North America,US,Massachusetts,Boston,1,29,2007,26.3
29,4412,2045821,North America,US,Massachusetts,Boston,1,30,2007,22.9
30,4413,2045822,North America,US,Massachusetts,Boston,1,31,2007,26.2
31,4414,2045823,North America,US,Massachusetts,Boston,2,1,2007,28.8
32,4415,2045824,North America,US,Massachusetts,Boston,2,2,2007,32.4
33,4416,2045825,North America,US,Massachusetts,Boston,2,3,2007,30.8
34,4417,2045826,North America,US,Massachusetts,Boston,2,4,2007,22.5
35,4418,2045827,North America,US,Massachusetts,Boston,2,5,2007,15.1
36,4419,2045828,North America,US,Massachusetts,Boston,2,6,2007,19.2
37,4420,2045829,North America,US,Massachusetts,Boston,2,7,2007,17.6
38,4421,2045830,North America,US,Massachusetts,Boston,2,8,2007,20.4
39,4422,2045831,North America,US,Massachusetts,Boston,2,9,2007,22.9
40,4423,2045832,North America,US,Massachusetts,Boston,2,10,2007,23.5
41,4424,2045833,North America,US,Massachusetts,Boston,2,11,2007,25.8
42,4425,2045834,North America,US,Massachusetts,Boston,2,12,2007,30.3
43,4426,2045835,North America,US,Massachusetts,Boston,2,13,2007,18.7
44,4427,2045836,North America,US,Massachusetts,Boston,2,14,2007,26.0
45,4428,2045837,North America,US,Massachusetts,Boston,2,15,2007,20.4
46,4429,2045838,North America,US,Massachusetts,Boston,2,16,2007,18.2
47,4430,2045839,North America,US,Massachusetts,Boston,2,17,2007,27.3
48,4431,2045840,North America,US,Massachusetts,Boston,2,18,2007,30.9
49,4432,2045841,North America,US,Massachusetts,Boston,2,19,2007,17.4
50,4433,2045842,North America,US,Massachusetts,Boston,2,20,2007,30.9
51,4434,2045843,North America,US,Massachusetts,Boston,2,21,2007,39.8
52,4435,2045844,North America,US,Massachusetts,Boston,2,22,2007,34.8
53,4436,2045845,North America,US,Massachusetts,Boston,2,23,2007,32.2
54,4437,2045846,North America,US,Massachusetts,Boston,2,24,2007,23.1
55,4438,2045847,North America,US,Massachusetts,Boston,2,25,2007,31.5
56,4439,2045848,North America,US,Massachusetts,Boston,2,26,2007,33.7
57,4440,2045849,North America,US,Massachusetts,Boston,2,27,2007,33.8
58,4441,2045850,North America,US,Massachusetts,Boston,2,28,2007,35.5
59,4442,2045851,North America,US,Massachusetts,Boston,3,1,2007,32.9
60,4443,2045852,North America,US,Massachusetts,Boston,3,2,2007,37.5
61,4444,2045853,North America,US,Massachusetts,Boston,3,3,2007,41.4
62,4445,2045854,North America,US,Massachusetts,Boston,3,4,2007,37.5
63,4446,2045855,North America,US,Massachusetts,Boston,3,5,2007,32.5
64,4447,2045856,North America,US,Massachusetts,Boston,3,6,2007,16.0
65,4448,2045857,North America,US,Massachusetts,Boston,3,7,2007,13.1
66,4449,2045858,North America,US,Massachusetts,Boston,3,8,2007,19.5
67,4450,2045859,North America,US,Massachusetts,Boston,3,9,2007,14.9
68,4451,2045860,North America,US,Massachusetts,Boston,3,10,2007,35.4
69,4452,2045861,North America,US,Massachusetts,Boston,3,11,2007,48.0
70,4453,2045862,North America,US,Massachusetts,Boston,3,12,2007,43.8
71,4454,2045863,North America,US,Massachusetts,Boston,3,13,2007,47.7
72,4455,2045864,North America,US,Massachusetts,Boston,3,14,2007,53.2
73,4456,2045865,North America,US,Massachusetts,Boston,3,15,2007,49.8
74,4457,2045866,North America,US,Massachusetts,Boston,3,16,2007,32.5
75,4458,2045867,North America,US,Massachusetts,Boston,3,17,2007,33.2
76,4459,2045868,North America,US,Massachusetts,Boston,3,18,2007,28.7
77,4460,2045869,North America,US,Massachusetts,Boston,3,19,2007,33.2
