,family,father,mother,gender,height,kids,male,female
0,1,78.5,67.0,M,73.2,4,1.0,0.0
1,1,78.5,67.0,F,69.2,4,0.0,1.0
2,1,78.5,67.0,F,69.0,4,0.0,1.0
3,1,78.5,67.0,F,69.0,4,0.0,1.0
4,2,75.5,66.5,M,73.5,4,1.0,0.0
5,2,75.5,66.5,M,72.5,4,1.0,0.0
6,2,75.5,66.5,F,65.5,4,0.0,1.0
7,2,75.5,66.5,F,65.5,4,0.0,1.0
8,3,75.0,64.0,M,71.0,2,1.0,0.0
9,3,75.0,64.0,F,68.0,2,0.0,1.0
10,4,75.0,64.0,M,70.5,5,1.0,0.0
11,4,75.0,64.0,M,68.5,5,1.0,0.0
12,4,75.0,64.0,F,67.0,5,0.0,1.0
13,4,75.0,64.0,F,64.5,5,0.0,1.0
14,4,75.0,64.0,F,63.0,5,0.0,1.0
15,5,75.0,58.5,M,72.0,6,1.0,0.0
16,5,75.0,58.5,M,69.0,6,1.0,0.0
17,5,75.0,58.5,M,68.0,6,1.0,0.0
18,5,75.0,58.5,F,66.5,6,0.0,1.0
19,5,75.0,58.5,F,62.5,6,0.0,1.0
20,5,75.0,58.5,F,62.5,6,0.0,1.0
21,6,74.0,68.0,F,69.5,1,0.0,1.0
22,7,74.0,68.0,M,76.5,6,1.0,0.0
23,7,74.0,68.0,M,74.0,6,1.0,0.0
24,7,74.0,68.0,M,73.0,6,1.0,0.0
25,7,74.0,68.0,M,73.0,6,1.0,0.0
26,7,74.0,68.0,F,70.5,6,0.0,1.0
27,7,74.0,68.0,F,64.0,6,0.0,1.0
28,8,74.0,66.5,F,70.5,3,0.0,1.0
29,8,74.0,66.5,F,68.0,3,0.0,1.0
30,8,74.0,66.5,F,66.0,3,0.0,1.0
31,9,74.5,66.0,F,66.0,1,0.0,1.0
32,10,74.0,65.5,F,65.5,1,0.0,1.0
33,11,74.0,62.0,M,74.0,8,1.0,0.0
34,11,74.0,62.0,M,70.0,8,1.0,0.0
35,11,74.0,62.0,F,68.0,8,0.0,1.0
36,11,74.0,62.0,F,67.0,8,0.0,1.0
37,11,74.0,62.0,F,67.0,8,0.0,1.0
38,11,74.0,62.0,F,66.0,8,0.0,1.0
39,11,74.0,62.0,F,63.5,8,0.0,1.0
40,11,74.0,62.0,F,63.0,8,0.0,1.0
41,12,74.0,61.0,F,65.0,1,0.0,1.0
42,14,73.0,67.0,M,68.0,2,1.0,0.0
43,14,73.0,67.0,M,67.0,2,1.0,0.0
44,15,73.0,66.5,M,71.0,3,1.0,0.0
45,15,73.0,66.5,M,70.5,3,1.0,0.0
46,15,73.0,66.5,F,66.7,3,0.0,1.0
47,16,73.0,65.0,M,72.0,9,1.0,0.0
48,16,73.0,65.0,M,70.5,9,1.0,0.0
49,16,73.0,65.0,M,70.2,9,1.0,0.0
50,16,73.0,65.0,M,70.2,9,1.0,0.0
51,16,73.0,65.0,M,69.2,9,1.0,0.0
52,16,73.0,65.0,F,68.7,9,0.0,1.0
53,16,73.0,65.0,F,66.5,9,0.0,1.0
54,16,73.0,65.0,F,64.5,9,0.0,1.0
55,16,73.0,65.0,F,63.5,9,0.0,1.0
56,17,73.0,64.5,M,74.0,6,1.0,0.0
